sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-E-SHER-SH04;Sherbrooke;SH04;Summer;109397;4;0.508717229;3;884.9014836;1;2.97;4.5;2.2;2.2;21.4;22.9;19.4;22;47.9;45.2;52.4;46.1;13:38:00;14:38:00;2022-06-01;45.4202413;-71.9371857;3.10E+05;5.49E+00;7.10E+05;5.851258349;FALSE
22-E-SHER-SH05;Sherbrooke;SH05;Summer;36800;1;0.347106218;2;677.3634378;1;10.45;10.3;10.6;NA;18.1;18.8;17.4;NA;56.5;54.5;58.5;NA;15:14:00;16:04:00;2022-06-01;45.408356;-71.9458957;9.97E+04;5.00E+00;3.10E+05;5.491361694;FALSE
22-E-SHER-SH06;Sherbrooke;SH06;Summer;77824;3;0.282550177;1;2201.431173;1;1.5;0;0;4.5;19.2;17.9;19.4;20.4;45.7;45.3;45.2;46.6;10:34:00;11:34:00;2022-06-01;45.4054518;-71.9242475;5.17E+05;5.71E+00;1.16E+06;6.064457989;FALSE
22-E-SHER-SH07;Sherbrooke;SH07;Summer;22208;1;0.368156765;2;892.5409209;1;4.1;4.5;3.7;NA;28.6;27.2;30;NA;27.2;30.3;24.1;NA;13:52:00;14:52:00;2022-05-31;45.3798085;-71.9277898;2.05E+06;6.31E+00;6.43E+05;5.808210973;FALSE
22-E-SHER-SH08;Sherbrooke;SH08;Summer;22208;1;0.311254908;2;830.1521832;1;4.47;5.5;3.7;4.2;17.4;17;17.8;17.5;49.4;48.8;51.2;48.3;8:53:00;9:53:00;2022-06-01;45.381245;-71.923329;2.74E+05;5.44E+00;2.78E+06;6.444044796;FALSE
22-E-SHER-SH09;Sherbrooke;SH09;Summer;20320;1;0.317060697;2;4205.510216;2;2.5;4;0;3.5;21.7;20.2;21;23.9;68.7;76;73;57;10:12:00;11:12:00;2022-06-03;45.3902926;-71.893326;4.12E+02;2.61E+00;1.46E+03;3.164352856;FALSE
22-E-SHER-SH10;Sherbrooke;SH10;Summer;41408;2;0.320380294;2;2466.264998;1;5.33;5;7;4;24.1;24.5;22.9;25;49.7;52;52;45;11:40:00;12:40:00;2022-06-03;45.3825509;-71.8866171;9.61E+04;4.98E+00;1.06E+06;6.025305865;FALSE
22-E-SHER-SH11;Sherbrooke;SH11;Summer;31168;1;0.33124766;2;3050.681949;2;4;7;1;4;23.4;23.2;23.1;24;46.7;47;48;45;13:15:00;14:15:00;2022-06-03;45.4109146;-71.8780957;3.62E+05;5.56E+00;1.41E+07;7.149219113;FALSE
22-E-SHER-SH12;Sherbrooke;SH12;Summer;42368;2;0.393993461;2;2633.059379;1;1.9;5.7;0;0;22.5;20.4;23.3;23.7;54;55.3;52.4;54.3;11:06:00;12:06:00;2022-06-02;45.4188;-71.859799;8.14E+04;4.91E+00;4.63E+06;6.665580991;FALSE
22-E-SHER-SH13;Sherbrooke;SH13;Summer;81493;3;0.515297584;3;1340.721241;1;2.73;5.7;2.5;0;24.6;25.2;23.5;25;48.6;50.9;48.8;46.1;12:30:00;13:30:00;2022-06-02;45.4058712;-71.8449875;6.59E+04;4.82E+00;2.33E+06;6.367355921;FALSE
22-E-SHER-SH14;Sherbrooke;SH14;Summer;102912;4;0.296719559;1;1292.338138;1;1.87;4.5;1.1;0;24;22.9;24.2;24.8;49.4;48.8;50.1;49.2;14:02:00;15:02:00;2022-06-02;45.4007907;-71.8359686;1.08E+05;5.03E+00;1.68E+06;6.225309282;FALSE
22-E-SHER-SH15;Sherbrooke;SH15;Summer;74496;3;0.624556728;3;823.7859854;1;0.5;0;1.5;0;24.5;24.4;23.9;25.1;51.2;44.5;57.5;51.5;15:28:00;16:28:00;2022-06-02;45.4063676;-71.8172484;2.81E+05;5.45E+00;3.90E+06;6.591064607;FALSE
22-A-MTL-01A;Montréal;01A;Fall;76117;3;0.369347837;2;3380.450991;2;0.37;0;1.1;0;18.3;18.8;18.1;18;57;54.7;58.5;57.8;11:45:00;12:45:00;2022-09-04;46.6621;-73.4934;2.41E+05;5.38E+00;3.39E+06;6.530199698;FALSE
22-A-MTL-02A;Montréal;02A;Fall;109184;4;0.391161217;2;6193.037146;3;3.53;0;8;2.6;21.8;22;21.4;22.1;49.4;46.5;50.2;51.5;14:52:00;15:52:00;2022-09-04;45.60392;-73.54978;1.46E+05;5.16E+00;1.37E+06;6.136720567;FALSE
22-A-MTL-03A;Montréal;03A;Fall;53504;2;0.331179404;2;5984.22586;2;1.73;1.6;0;3.6;23.3;21.8;23.1;24.9;69.8;73.5;70;66;8:40:00;9:40:00;2022-09-09;45.6161;-73.6309;1.32E+05;5.12E+00;8.25E+05;5.916453949;FALSE
22-A-MTL-04A;Montréal;04A;Fall;41536;2;0.272122344;1;8161.465482;3;0.83;2.5;0;0;28;25.8;26.7;31.6;45.5;48.5;48.3;39.6;10:30:00;11:30:00;2022-09-03;45.59093;-73.6475;7.50E+05;5.88E+00;1.29E+06;6.11058971;FALSE
22-A-MTL-05B;Montréal;05B;Fall;49792;2;0.33716282;2;6526.625906;3;0;0;0;0;23.6;22.4;23.1;25.3;64.9;63.5;68.5;62.8;9:00:00;10:00:00;2022-09-03;45.5856;-73.6099;6.56E+05;5.82E+00;6.59E+06;6.818885415;FALSE
22-A-MTL-06C;Montréal;06C;Fall;49920;2;0.372344271;2;7752.755588;3;2.17;0;2.9;3.6;21.2;22.1;21.2;20.4;50.6;48.8;50.1;53;16:30:00;17:30:00;2022-09-04;45.5764;-73.5684;2.97E+05;5.47E+00;8.79E+05;5.943988875;FALSE
22-A-MTL-07A;Montréal;07A;Fall;44160;2;0.290465293;1;13553.63495;5;3.73;0;5.5;5.7;28.2;29.3;27.4;28;51.8;56.4;49.6;49.5;13:25:00;14:25:00;2022-09-03;45.54815;-73.608;2.72E+06;6.43E+00;9.13E+05;5.960470778;FALSE
22-A-MTL-08A;Montréal;08A;Fall;32320;1;0.266791681;1;12057.57849;5;4.23;5.5;2.4;4.8;17.4;17.8;17;17.5;73.7;78.5;70.2;72.5;9:00:00;10:00:00;2022-09-06;45.53071;-73.629;6.22E+05;5.79E+00;1.99E+06;6.298853076;FALSE
22-A-MTL-09B;Montréal;09B;Fall;43648;2;0.390797183;2;7400.068234;3;1.37;0;4.1;0;31.5;30.5;29.5;34.4;42.1;39.7;43.5;43.1;11:56:00;12:56:00;2022-09-03;45.56694;-73.65691;4.39E+05;5.64E+00;2.26E+06;6.354108439;FALSE
22-A-MTL-10A;Montréal;10A;Fall;61184;2;0.406501776;2;7808.778128;3;8.67;7.5;5.9;12.6;17.9;18.2;18.2;17.2;48.6;48.5;46.9;50.5;16:35:00;17:35:00;2022-09-01;45.52505;-73.68199;2.48E+05;5.39E+00;1.59E+06;6.201397124;FALSE
22-A-MTL-11B;Montréal;11B;Fall;58368;2;0.340797229;2;12959.03209;5;3.5;6;2.5;2;28.7;29.9;28.2;28;48.4;45.7;49.2;50.3;14:56:00;15:56:00;2022-09-03;45.53339;-73.58411;7.24E+05;5.86E+00;1.25E+06;6.096910013;FALSE
22-A-MTL-12B;Montréal;12B;Fall;20928;1;0.204384316;1;11333.10519;4;2.53;3.8;1.1;2.7;24.4;24.3;24.6;24.3;47.6;44.5;48.7;49.5;15:16:00;16:16:00;2022-08-31;45.5174;-73.5572;1.19E+06;6.08E+00;1.67E+06;6.222716471;FALSE
22-A-MTL-12C;Montréal;12C;Fall;40064;2;0.187735527;1;10864.55304;4;4.13;4.5;4.2;3.7;25;25.7;25;24.4;42.7;37.6;44.2;46.3;13:40:00;14:40:00;2022-08-31;45.5148;-73.5603;1.02E+06;6.01E+00;1.50E+06;6.176091259;FALSE
22-A-MTL-13A;Montréal;13A;Fall;28864;1;0.404581668;2;10626.45724;4;3.27;4.4;3.2;2.2;18.1;17.9;18.4;18;71.7;71.6;71.1;72.5;10:40:00;11:40:00;2022-09-06;45.50562;-73.62077;8.78E+05;5.94E+00;1.73E+06;6.238046103;FALSE
22-A-MTL-14A;Montréal;14A;Fall;67008;2;0.462534911;3;7840.609116;3;1.83;0;5.5;0;27.1;25.8;27.1;28.5;43.7;45.5;43.5;42.1;10:52:00;11:52:00;2022-09-02;45.46289;-73.648;2.83E+05;5.45E+00;7.69E+05;5.88592634;FALSE
22-A-MTL-15B;Montréal;15B;Fall;65312;2;0.430702709;2;4992.372255;2;1.43;1.1;3.2;0;27.5;26.4;26.1;29.9;47.3;50.5;43.3;48.2;12:36:00;13:36:00;2022-09-02;45.44524;-73.58264;1.65E+05;5.22E+00;4.51E+05;5.654176542;FALSE
22-A-MTL-16A;Montréal;16A;Fall;59776;2;0.218252209;1;7855.887991;3;3.43;5.5;4.8;0;27.5;30.2;25.7;26.6;41.2;35.3;43.9;44.5;14:20:00;15:20:00;2022-09-02;45.46145;-73.56328;5.33E+05;5.73E+00;7.36E+05;5.866877814;FALSE
22-A-MTL-17C;Montréal;17C;Fall;115456;4;0.50822239;3;3877.014414;2;0;0;0;0;20.6;15.7;19.5;26.5;58.7;72.8;59.2;44.2;9:10:00;10:10:00;2022-09-02;45.44171;-73.70715;5.26E+05;5.72E+00;6.65E+06;6.822821645;FALSE
22-A-MTL-18B;Montréal;18B;Fall;81664;3;0.49877877;3;3333.341128;2;0.67;2;0;0;24.4;21.7;25.5;26;34.4;40.3;32.5;30.5;13:11:00;14:11:00;2022-09-01;45.47554;-73.85316;6.78E+05;5.83E+00;1.51E+06;6.178976947;FALSE
22-A-MTL-19B;Montréal;19B;Fall;100352;4;0.593905243;3;706.6479473;1;6.83;6.5;5;9;19.2;18.5;20.6;18.4;51.7;56.5;48.5;50.1;11:35:00;12:35:00;2022-09-01;45.45884;-73.92196;1.81E+05;5.26E+00;2.76E+06;6.440909082;FALSE
22-A-MTL-20C;Montréal;20C;Fall;135424;4;0.626987433;3;118.4112777;1;1.4;4.2;0;0;17;17.1;16.9;17;67.8;65;75;63.3;10:07:00;11:07:00;2022-09-01;45.44198;-73.95342;1.58E+05;5.20E+00;1.43E+07;7.155336037;FALSE
22-A-MTL-21B;Montréal;21B;Fall;41600;2;0.379461907;2;9055.279642;4;3.5;3.6;6.9;0;27;24.7;26.8;29.4;45.3;48.5;44.5;43;15:05:00;16:05:00;2022-09-07;45.48825;-73.64359;5.77E+05;5.76E+00;5.42E+05;5.733999287;FALSE
22-A-MTL-22A;Montréal;22A;Fall;28352;1;0.320003508;2;11830.94185;4;1.73;5.2;0;0;26.6;27.9;26.1;25.7;36.8;32.5;39;39;16:45:00;17:45:00;2022-09-07;45.49038;-73.5713;1.68E+06;6.23E+00;2.85E+05;5.45484486;FALSE
22-A-MTL-23A;Montréal;23A;Fall;87808;3;0.387574385;2;4136.755281;2;3.83;2.6;4.1;4.8;20;21.7;19.1;19.1;42.1;38.2;43.1;45.1;15:13:00;16:13:00;2022-09-01;45.50625;-73.72942;1.78E+05;5.25E+00;9.79E+05;5.990782692;FALSE
22-A-MTL-24B;Montréal;24B;Fall;60416;2;0.21931487;1;827.6057041;1;2;2.2;3.8;0;20.3;19.2;20.6;21;53.3;55.2;54.2;50.5;13:25:00;14:25:00;2022-09-04;45.5795;-73.5212;2.42E+05;5.38E+00;5.63E+06;6.750508395;FALSE
22-A-SHER-SH01;Sherbrooke;SH01;Fall;76160;3;0.367552972;2;332.3155212;1;6.27;8.5;4.8;5.5;17;17.5;17;16.6;58.1;55.3;57.1;61.9;11:23:00;12:23:00;2022-09-27;45.4476387;-71.8706556;1.62E+05;5.21E+00;1.77E+06;6.247973266;FALSE
22-A-SHER-SH02;Sherbrooke;SH02;Fall;89600;3;0.611853689;3;332.3155212;1;4;3.8;NA;4.2;18.7;17.9;19.1;19;55.4;58.7;53.2;54.3;9:36:00;10:36:00;2022-09-27;45.429919;-71.8962549;3.24E+05;5.51E+00;9.63E+06;6.983626287;FALSE
22-A-SHER-SH03;Sherbrooke;SH03;Fall;99584;3;0.254750342;1;2486.636831;1;3.47;3.6;6.8;0;18.3;19.6;17.1;18.1;51.2;50.1;51.2;52.2;11:42:00;12:42:00;2022-09-25;45.4153754;-71.9132665;3.12E+04;4.49E+00;1.01E+06;6.004321374;FALSE
22-A-SHER-SH04;Sherbrooke;SH04;Fall;109397;4;0.508717229;3;884.9014836;1;2.03;1.9;0;4.2;16;15.5;14.9;17.7;58.7;58.6;62.9;54.6;10:11:00;11:11:00;2022-09-25;45.4202413;-71.9371857;8.05E+04;4.91E+00;3.48E+06;6.541579244;FALSE
22-A-SHER-SH05;Sherbrooke;SH05;Fall;36800;1;0.347106218;2;677.3634378;1;5.07;5.8;1.6;7.8;12.2;11.9;12.8;11.9;52.8;53.3;52.1;53.1;16:27:00;17:27:00;2022-09-23;45.408356;-71.9458957;3.15E+05;5.50E+00;8.40E+05;5.924279286;FALSE
22-A-SHER-SH06;Sherbrooke;SH06;Fall;77824;3;0.282550177;1;2201.431173;1;1.7;4.1;0;1;12.3;11.6;13;12.2;49.9;47.3;50.6;51.7;14:57:00;15:57:00;2022-09-23;45.4054518;-71.9242475;3.40E+05;5.53E+00;1.38E+06;6.139879086;FALSE
22-A-SHER-SH07;Sherbrooke;SH07;Fall;22208;1;0.368156765;2;892.5409209;1;1.93;2.2;0;3.6;34.8;18.5;18.2;67.7;48.5;62.3;65.6;17.6;15:42:00;16:42:00;2022-09-21;45.3798085;-71.9277898;1.45E+03;3.16E+00;5.55E+04;4.744292983;FALSE
22-A-SHER-SH08;Sherbrooke;SH08;Fall;22208;1;0.311254908;2;830.1521832;1;5.03;6.4;6.8;1.9;32.6;16.4;17.2;64.2;51;67.1;68.3;17.5;14:04:00;15:04:00;2022-09-21;45.381245;-71.923329;9.51E+02;2.98E+00;2.91E+03;3.463892989;FALSE
22-A-SHER-SH09;Sherbrooke;SH09;Fall;20320;1;0.317060697;2;4205.510216;2;3.97;5;3.7;3.2;10.8;10.5;10.2;11.6;53.3;50.1;55.4;54.5;11:34:00;12:34:00;2022-09-23;45.3902926;-71.893326;1.51E+05;5.18E+00;1.43E+06;6.155336037;FALSE
22-A-SHER-SH10;Sherbrooke;SH10;Fall;41408;2;0.320380294;2;2466.264998;1;3.83;5.3;2.2;4;10.7;10.1;10.9;11;55.2;57.2;53.8;54.7;13:07:00;14:07:00;2022-09-23;45.3825509;-71.8866171;3.68E+05;5.57E+00;1.94E+06;6.28780173;FALSE
22-A-SHER-SH11;Sherbrooke;SH11;Fall;31168;1;0.33124766;2;3050.681949;2;1.4;2.6;0;1.6;19.9;19.6;20.5;19.7;47.2;47.5;44.8;49.2;13:14:00;14:14:00;2022-09-25;45.4109146;-71.8780957;1.19E+05;5.08E+00;7.57E+05;5.87909588;FALSE
22-A-SHER-SH12;Sherbrooke;SH12;Fall;42368;2;0.393993461;2;2633.059379;1;0;0;0;0;16.2;17.3;14.2;17.1;35.9;34.3;40.1;33.4;10:09:00;11:09:00;2022-10-04;45.4188;-71.859799;1.48E+04;4.17E+00;2.63E+05;5.419955748;FALSE
22-A-SHER-SH13;Sherbrooke;SH13;Fall;81493;3;0.515297584;3;1340.721241;1;0.83;0;0;2.5;17;16.7;16.7;17.6;34.8;39.2;32.2;32.9;11:36:00;12:36:00;2022-10-04;45.4058712;-71.8449875;3.17E+04;4.50E+00;3.15E+05;5.498310554;FALSE
22-A-SHER-SH14;Sherbrooke;SH14;Fall;102912;4;0.296719559;2;1292.338138;1;0;0;0;0;20.9;20.6;19.4;22.6;21.2;20.7;20.1;22.9;14:14:00;15:14:00;2022-10-04;45.4007907;-71.8359686;5.62E+04;4.75E+00;5.25E+05;5.720159303;FALSE
22-A-SHER-SH15;Sherbrooke;SH15;Fall;74496;3;0.624556728;3;823.7859854;1;0;0;0;0;24.1;23;24.9;24.3;30.4;19.1;41.7;30.3;15:41:00;16:41:00;2022-10-04;45.4063676;-71.8172484;2.02E+04;4.31E+00;1.55E+05;5.190331698;FALSE
22-A-QC-Q01;Québec;Q01;Fall;49152;2;0.432727013;2;2075.380458;1;2.37;2.1;4.2;0.8;21.2;20.3;21;22.3;41.2;42.8;43.2;37.6;11:46:00;12:46:00;2022-10-02;46.85421;-71.4145;8.37E+05;5.92E+00;2.87E+06;6.457881897;FALSE
22-A-QC-Q02;Québec;Q02;Fall;113579;4;0.606990646;3;958.7493772;1;6.77;6;5;9.3;16.7;19;17;14;34.8;25;41.5;38;13:20:00;14:20:00;2022-10-02;46.83636;-71.40513;1.27E+05;5.10E+00;6.05E+05;5.781755375;FALSE
22-A-QC-Q03;Québec;Q03;Fall;73088;3;0.553323943;3;2407.695979;1;2.03;0;2.6;3.5;16.6;16.6;16;17.1;30.5;29.3;31.1;31;11:48:00;12:48:00;2022-10-02;46.81419;-71.36044;3.74E+04;4.57E+00;9.42E+05;5.974050903;FALSE
22-A-QC-Q04;Québec;Q04;Fall;109056;4;0.457704591;3;2065.194542;1;1.63;4.9;0;0;13.3;9.5;11.5;19;39.2;42.5;40.1;35;10:18:00;11:18:00;2022-10-02;46.78145;-71.36003;1.64E+05;5.21E+00;6.74E+05;5.828659897;FALSE
22-A-QC-Q05;Québec;Q05;Fall;72192;3;0.607582232;3;491.4704643;1;4.83;6.5;4;4;7.3;5;7;10;51.8;63;52;40.5;8:54:00;9:54:00;2022-10-02;46.77072;-71.38365;9.71E+04;4.99E+00;9.09E+05;5.958563883;FALSE
22-A-QC-Q06;Québec;Q06;Fall;72192;3;0.304700347;2;4788.653928;2;4.77;6.5;5;2.8;17.9;13.7;19.5;20.5;36.8;45.3;31.5;33.5;11:26:00;12:26:00;2022-09-29;46.83124;-71.24294;8.00E+05;5.90E+00;1.09E+06;6.037426498;FALSE
22-A-QC-Q07;Québec;Q07;Fall;48768;2;0.34428839;2;1902.21988;1;5.03;5;6;4.1;12.9;7.7;13;18;69.8;71.9;74.3;63.1;8:29:00;9:29:00;2022-09-30;46.84632;-71.20978;3.28E+05;5.52E+00;3.89E+06;6.589949601;FALSE
22-A-QC-Q08;Québec;Q08;Fall;43674;2;0.419913877;2;2245.994557;1;3.53;4;2.6;4;11.8;11.5;12.9;11;66.2;65.2;61.5;71.8;9:59:00;10:59:00;2022-09-30;46.86521;-71.21897;1.32E+05;5.12E+00;2.57E+06;6.409933123;FALSE
22-A-QC-Q09;Québec;Q09;Fall;63488;2;0.292346218;1;1273.239545;1;6.07;4.5;7.7;6;14.6;13;14.9;15.8;55.4;58.5;56;51.6;11:39:00;12:39:00;2022-09-30;46.87822;-71.19501;4.09E+04;4.61E+00;5.89E+04;4.770115295;FALSE
22-A-QC-Q10;Québec;Q10;Fall;116992;4;0.546654151;3;109.4986008;1;9.57;9.5;10;9.2;18;17.5;17.5;19.1;42.7;44.7;42.3;41;13:12:00;14:12:00;2022-09-30;46.89306;-71.2232;2.93E+05;5.47E+00;1.90E+06;6.278753601;FALSE
22-A-QC-Q11;Québec;Q11;Fall;106368;4;0.500111664;3;2620.326983;1;3.2;2.9;5.6;1.1;10.8;9.3;8.6;14.4;62.1;66.3;66.4;53.5;19:31:00;20:19:00;2022-09-29;46.88521;-71.25702;1.08E+05;5.03E+00;5.65E+06;6.752048448;FALSE
22-A-QC-Q12;Québec;Q12;Fall;91904;3;0.503791808;3;3422.467896;2;2.63;4.5;3.4;0;18.4;17.6;18.6;19;30.6;31.2;30.7;29.9;16:30:00;17:30:00;2022-09-29;46.85193;-71.26834;1.79E+05;5.25E+00;1.62E+06;6.209515015;FALSE
22-A-QC-Q13;Québec;Q13;Fall;49472;2;0.553525477;3;1774.895925;1;1.33;2;2;0;13.2;15.5;13;11.2;48.6;42.1;47.7;56;18:01:00;19:01:00;2022-09-29;46.86834;-71.28834;2.67E+05;5.43E+00;3.03E+06;6.481442629;FALSE
22-A-QC-Q14;Québec;Q14;Fall;109312;4;0.485762704;3;3320.608733;2;3.03;5;1.1;3;22.8;22.9;23;22.6;36.2;38.2;35.3;35;13:25:00;14:25:00;2022-10-05;46.8801;-71.3335;7.44E+05;5.87E+00;1.11E+06;6.045322979;FALSE
22-A-QC-Q15;Québec;Q15;Fall;77077;3;0.544256723;3;2601.22839;1;0.93;0;2.2;0.6;18;17.2;17.4;19.3;47.3;47.5;49.4;45;9:59:00;10:59:00;2022-10-05;46.83728;-71.33496;7.45E+05;5.87E+00;5.29E+06;6.723455672;FALSE
22-A-QC-Q16;Québec;Q16;Fall;67328;2;0.324713139;2;1124.270518;1;3.2;6.3;2.3;1;17.9;17.3;17.9;18.4;34.2;37;33.2;32.5;14:53:00;15:53:00;2022-09-29;46.82437;-71.2706;4.76E+05;5.68E+00;1.99E+06;6.298853076;FALSE
22-A-QC-Q17;Québec;Q17;Fall;37305;1;0.268323421;1;4703.346878;2;5.4;7.7;4;4.5;18.5;18;19.5;17.9;34.4;36.5;32.6;34;13:00:00;14:00:00;2022-09-29;46.81736;-71.25691;4.52E+05;5.66E+00;2.54E+06;6.404833717;FALSE
22-A-QC-Q18;Québec;Q18;Fall;54963;2;0.174525783;1;2922.084755;1;3.17;5;2.5;2;19.4;19.5;19.5;19.1;36;37.3;34.1;36.5;9:29:00;10:29:00;2022-09-29;46.81572;-71.21265;5.96E+05;5.78E+00;1.02E+06;6.008600172;FALSE
22-A-QC-Q19;Québec;Q19;Fall;85760;3;0.431158054;2;6135.741366;3;0;0;0;0;13.3;10.8;14.7;14.4;69.9;77.1;66;66.5;9:10:00;10:10:00;2022-10-01;46.7954;-71.23525;1.74E+05;5.24E+00;1.09E+06;6.037426498;FALSE
22-A-QC-Q20;Québec;Q20;Fall;123136;4;0.48726252;3;1237.588837;1;0;0;0;0;13;14.9;12.6;11.4;69.3;59.3;71.2;77.5;21:29:00;22:29:00;2022-09-30;46.76675;-71.2631;4.69E+05;5.67E+00;6.02E+06;6.779596491;FALSE
22-A-QC-Q21;Québec;Q21;Fall;198912;4;0.471508612;3;2583.403036;1;5.77;8.1;6.2;3;18.8;18.6;18.3;19.6;40;41;39.9;39.2;15:15:00;16:15:00;2022-09-30;46.77768;-71.26399;1.81E+05;5.26E+00;1.26E+06;6.100370545;FALSE
22-A-QC-Q22;Québec;Q22;Fall;60032;2;0.534330787;3;3776.42849;2;4.57;3.4;4.3;6;15.6;15.7;15.1;16;61.9;62.1;63;60.5;11:08:00;12:08:00;2022-10-01;46.75831;-71.3328;1.68E+05;5.23E+00;3.83E+06;6.583198774;FALSE
22-A-QC-Q23;Québec;Q23;Fall;101632;4;0.532463977;3;1937.870587;1;2.37;0;2.7;4.4;18.3;18.1;17.9;18.8;57.2;56;59.5;56.1;12:37:00;13:37:00;2022-10-01;46.76537;-71.36009;2.64E+05;5.42E+00;2.39E+06;6.378397901;FALSE
22-A-QC-Q24;Québec;Q24;Fall;162645;4;0.393283659;2;1636.112815;1;4.7;4;4.5;5.6;13;14.5;12.4;12;47.9;44;50.2;49.6;18:42:00;19:42:00;2022-10-01;46.7462;-71.39018;8.31E+02;2.92E+00;1.30E+06;6.113943352;FALSE
22-A-QC-Q25;Québec;Q25;Fall;158720;4;0.584678286;3;2436.980489;1;0.8;2.4;0;0;16.7;19.8;15.4;14.8;39.7;36.9;39.8;42.5;17:15:00;18:15:00;2022-10-01;46.74005;-71.37469;3.29E+05;5.52E+00;2.24E+06;6.350248018;FALSE
22-S-SHER-SH07-B;Sherbrooke;SH07;Spring;22208;1;0.368156765;2;892.5409209;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45.3798085;-71.9277898;NA;;NA;;TRUE
22-E-MTL-23A-B;Montréal;23A;Summer;87808;3;0.387574385;2;4136.755281;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45.50625;-73.72942;NA;;NA;;TRUE
22-A-QC-Q15-B;Québec;Q15;Fall;77077;3;0.544256723;3;2601.22839;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46.83728;-71.33496;NA;;NA;;TRUE
Contrôle-blanc-12h00-PM;None;None;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
D8-3044;None;None;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
D8-3046;None;None;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
Couloir-D8-3225;None;None;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
120min-avr-B;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;TRUE
120min-avr;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
60min-avr-B;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;TRUE
60min-avr;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
oct-B;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;TRUE
15min-oct;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
30min-oct;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE
60min-oct;None;D8-porte;None;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;;FALSE